
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 4/1/2023, 19:16:46
  ==========================================
  

[2023-01-04T22:16:58.101Z] : [warn]: There is a small amount of free memory (RAM) left, 94.85% of RAM is being used (11568 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-01-04T23:22:58.337Z] : [warn]: There is a small amount of free memory (RAM) left, 92.87% of RAM is being used (11327 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:25:58.346Z] : [warn]: There is a small amount of free memory (RAM) left, 93.13% of RAM is being used (11358 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:28:58.363Z] : [warn]: There is a small amount of free memory (RAM) left, 93.08% of RAM is being used (11352 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:31:58.367Z] : [warn]: There is a small amount of free memory (RAM) left, 92.67% of RAM is being used (11302 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:34:58.369Z] : [warn]: There is a small amount of free memory (RAM) left, 92.83% of RAM is being used (11322 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:37:58.377Z] : [warn]: There is a small amount of free memory (RAM) left, 93.11% of RAM is being used (11356 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:40:58.383Z] : [warn]: There is a small amount of free memory (RAM) left, 93.19% of RAM is being used (11365 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:43:58.386Z] : [warn]: There is a small amount of free memory (RAM) left, 93.17% of RAM is being used (11363 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:46:58.390Z] : [warn]: There is a small amount of free memory (RAM) left, 93.12% of RAM is being used (11357 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:49:58.400Z] : [warn]: There is a small amount of free memory (RAM) left, 92.63% of RAM is being used (11297 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:52:58.411Z] : [warn]: There is a small amount of free memory (RAM) left, 93.08% of RAM is being used (11352 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:55:58.414Z] : [warn]: There is a small amount of free memory (RAM) left, 93.15% of RAM is being used (11361 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-04T23:58:58.418Z] : [warn]: There is a small amount of free memory (RAM) left, 93.39% of RAM is being used (11390 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-05T00:01:58.430Z] : [warn]: There is a small amount of free memory (RAM) left, 93.6% of RAM is being used (11415 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-05T00:04:58.443Z] : [warn]: There is a small amount of free memory (RAM) left, 95.59% of RAM is being used (11658 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

